"","Entity","Total.COVID.19.tests.performed","Total.COVID.19.tests.performed.per.million.people","Alpha","B.1.1.277","B.1.1.302","B.1.160","B.1.177","B.1.221","B.1.258","B.1.367","Beta","Delta","Epsilon","Eta","Gamma","Iota","Kappa","S.677H.Robin1","S.677P.Pelican","others","non_who","Lambda","B.1.621","B.1.620","B.1.1.519","Daily.new.confirmed.cases.of.COVID.19","Daily.new.confirmed.deaths.due.to.COVID.19","Total.confirmed.cases.of.COVID.19","Total.confirmed.deaths.due.to.COVID.19","Daily.new.confirmed.cases.of.COVID.19.per.million.people","Daily.new.confirmed.deaths.due.to.COVID.19.per.million.people","Total.confirmed.cases.of.COVID.19.per.million.people","Total.confirmed.deaths.due.to.COVID.19.per.million.people","Days.since.the.total.confirmed.cases.of.COVID.19.reached.100","Days.since.the.total.confirmed.deaths.of.COVID.19.reached.5","Days.since.the.total.confirmed.cases.of.COVID.19.per.million.people.reached.1","Days.since.the.total.confirmed.deaths.of.COVID.19.per.million.people.reached.0.1","Case.fatality.rate.of.COVID.19....","Case.fatality.rate.of.COVID.19......Only.observations.with..100.cases.","Days.since.30.daily.new.confirmed.cases.recorded","Days.since.50.daily.new.confirmed.cases.recorded","Days.since.10.daily.new.confirmed.deaths.recorded","Days.since.5.daily.new.confirmed.deaths.recorded","Days.since.3.daily.new.confirmed.deaths.recorded","Daily.new.confirmed.deaths.due.to.COVID.19..rolling.7.day.average..right.aligned.","Daily.new.confirmed.cases.due.to.COVID.19..rolling.7.day.average..right.aligned.","Days.since.daily.new.confirmed.cases.of.COVID.19.per.million.people..rolling.7.day.average..right.aligned..reached.1","Days.since.daily.new.confirmed.deaths.due.to.COVID.19.per.million.people..rolling.7.day.average..right.aligned..reached.0.1","Daily.new.confirmed.cases.of.COVID.19..rolling.3.day.average..right.aligned.","Daily.new.confirmed.deaths.due.to.COVID.19..rolling.3.day.average..right.aligned.","Daily.new.confirmed.cases.of.COVID.19.per.million.people..rolling.7.day.average..right.aligned.","Daily.new.confirmed.deaths.due.to.COVID.19.per.million.people..rolling.7.day.average..right.aligned.","Days.since.daily.new.confirmed.cases.of.COVID.19..rolling.7.day.average..right.aligned..reached.30","Days.since.daily.new.confirmed.deaths.due.to.COVID.19..rolling.7.day.average..right.aligned..reached.5","Days.since.daily.new.confirmed.deaths.due.to.COVID.19.per.million.people..rolling.7.day.average..right.aligned..reached.0.01","Daily.new.confirmed.cases.of.COVID.19.per.million.people..rolling.3.day.average..right.aligned.","Daily.new.confirmed.deaths.due.to.COVID.19.per.million.people..rolling.3.day.average..right.aligned.","Days.since.the.total.confirmed.cases.of.COVID.19.reached.100..with.population...5M.","Has.population...5M.AND.had..100.cases..21.days.ago.AND.has.testing.data","Doubling.days.of.total.confirmed.cases..3.day.period.","Doubling.days.of.total.confirmed.cases..7.day.period.","Doubling.days.of.total.confirmed.deaths..3.day.period.","Doubling.days.of.total.confirmed.deaths..7.day.period.","Weekly.cases","Weekly.deaths","Weekly.case.growth....","Weekly.death.growth....","Biweekly.cases","Biweekly.deaths","Biweekly.case.growth....","Biweekly.death.growth....","Weekly.cases.per.million.people","Weekly.deaths.per.million.people","Biweekly.cases.per.million.people","Biweekly.deaths.per.million.people","Case.fatality.rate.of.COVID.19......Short.term.","Daily.ICU.occupancy","Daily.ICU.occupancy.per.million","Daily.hospital.occupancy","Daily.hospital.occupancy.per.million","Weekly.new.ICU.admissions","Weekly.new.ICU.admissions.per.million","Weekly.new.hospital.admissions","Weekly.new.hospital.admissions.per.million","school_closures","workplace_closures","cancel_public_events","close_public_transport","public_information_campaigns","restrictions_internal_movements","international_travel_controls","fiscal_measures","emergency_investment_healthcare","investment_vaccines","contact_tracing","stringency_index","restriction_gatherings","stay_home_requirements","income_support","debt_relief","international_support","testing_policy","containment_index","facial_coverings","vaccination_policy","vaccine_eligibility","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","annotation","cumulative_tests_per_case","cumulative_positivity_rate","testing_observations","days_since_observation","observations_found","new_tests_7day_smoothed","new_tests_per_thousand_7day_smoothed","short_term_tests_per_case","short_term_positivity_rate","Importance..Larson.et.al..2016..","Safety..Larson.et.al..2016..","Effectiveness..Larson.et.al..2016..","Religious.compatibility..Larson.et.al..2016.."
"26","New Zealand",338,70.5,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1587,25,0.415,0,329.101,5.184,219,198,235,213,1.575,1.575,219,216,NA,NA,197,0,4.42857,224,198,2.66667,0,0.91829,0,216,NA,213,0.553,0,NA,0,411.47,245.96,NA,NA,31,0,-18.4210526315789,NA,69,0,81.5789473684211,NA,6.429,0,14.309,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Norway",8000,1514.5,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,433,1,18341,280,79.871,0.184,3383.173,51.649,235,222,242,229,1.527,1.527,236,231,208,208,222,0.28571,248.28571,237,222,369.66667,0.33333,45.79871,0.05257,231,205,229,68.18867,0.06133,235,1,33.34,48.74,581.2,676.86,1738,2,80.2904564315353,100,2702,3,45.9751485683414,0,320.591,0.369,498.41,0.553,0.199,NA,NA,NA,NA,11.201,2.049,50.913,9.315,1,0,0,0,2,0,2,NA,NA,0,2,20.37,0,0,2,0,NA,3,35.71,0,5,1,3910838,22107,721.392,4.078,"people tested",55.6,0.018,373,3,373,18198,3.357,41.3,0.024,NA,NA,NA,NA
"28","Palestine",1609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Panama",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Philippines",717,6.8,41.25,0,0,0,0,0,0,0,42.5,11.25,0,0,0,0,0,0,0,5,5,0,0,0,0,1514,14,373144,7053,13.816,0.128,3405.186,64.363,227,228,227,226,1.89,1.89,227,220,213,226,228,51.85714,1767,212,207,1775,39.66667,16.125,0.47329,220,214,226,16.198,0.362,227,1,144.67,143.93,122.2,91.83,12369,363,-22.9921553978334,14.1509433962264,28431,681,-19.7091217170291,-26.2987012987013,112.875,3.313,259.452,6.215,2.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Poland",2234,58.8,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16300,132,280229,4615,430.686,3.488,7404.337,121.94,227,224,229,225,1.647,1.647,227,225,209,211,216,127.71429,12527.14286,222,209,12761,88,330.99771,3.37471,224,208,227,337.17667,2.32533,227,1,14.16,12.93,35.3,22.53,87690,894,53.140881228061,44.1935483870968,144951,1514,219.86715508871,144.983818770227,2316.985,23.622,3829.96,40.004,2.592,NA,NA,4706,124.507,NA,NA,19.915,0.527,1,1,1,0,2,0,2,NA,NA,0,1,38.89,2,1,2,2,NA,2,46.43,2,5,2,9771618,62381,258.19,1.648,"people tested",5.6,0.179,310,1,310,50454,1.333,4.6,0.219,8.3,12,10.3,10.6
"32","Russia",76963,532.6,0,0,0,0,0,0,0,0,0,94.12,0,0,0,0,0,0,0,5.88,5.88,0,0,0,0,16550,320,1547774,26589,113.407,2.193,10605.953,182.198,224,213,223,210,1.718,1.718,225,222,203,210,212,279.14286,16591.28571,212,196,16869,256,113.68986,1.91271,220,206,211,115.59267,1.75433,224,1,62.55,62.21,70.95,63.57,116139,1954,10.1292469916648,17.0760934691432,221596,3623,39.9203147001067,49.6489054109872,795.83,13.39,1518.462,24.826,2.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Slovakia",853,156.8,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,901,11,46056,176,165.029,2.015,8435.716,32.237,223,195,231,204,0.382,0.382,220,214,10,25,195,11.14286,2093.71429,227,195,1751.66667,5.66667,383.48929,2.041,203,7,204,320.839,1.038,223,1,17.16,12.67,20.47,8.29,14656,78,39.3950922579418,110.810810810811,25170,115,122.507072135785,618.75,2684.425,14.287,4610.192,21.064,1.025,NA,NA,1080,197.776,3.002,0.55,90.047,16.49,1,1,1,0,2,0,2,NA,NA,0,1,34.72,3,0,2,2,NA,3,49.4,3,5,NA,16685602,163713,3056.171,29.986,"tests performed",52.6,0.019,364,1,364,308369,56.482,58.8,0.017,NA,NA,NA,NA
"34","Slovenia",3058,1479.6,0.38,0,0,0,0,0,0,0,0,99.25,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,1523,4,25603,192,732.588,1.924,12315.458,92.355,228,215,236,224,0.75,0.75,229,214,NA,205,214,3.71429,1589.71429,235,217,1442,3.66667,764.67829,1.78657,226,NA,224,693.62533,1.76367,NA,0,11.24,8.51,35.25,33.35,11128,26,112.204424103738,36.8421052631579,16372,45,337.286324786325,400,5352.748,12.506,7875.197,21.646,0.924,126,60.614,475,228.506,68.436,32.922,353.089,169.859,1,1,1,0,2,0,1,NA,NA,0,2,35.19,3,0,1,1,NA,3,47.98,3,4,NA,1895037,27036,911.544,13.005,"tests performed",9.8,0.102,379,1,379,28542,13.729,37,0.027,13.2,22,16.4,19.4
"35","South Africa",645,11.4,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,45,717851,19053,18.412,0.759,12103.639,321.251,223,210,225,207,2.654,2.654,223,221,194,202,202,56.71429,1649.57143,217,177,1201.66667,36.33333,27.81314,0.95629,220,182,210,20.261,0.61267,223,1,413.03,299.21,362.44,230.43,11547,397,-1.86963542109289,-36.7834394904459,23314,1025,6.14158889141816,-24.6877296105804,194.693,6.694,393.096,17.282,3.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","South Korea",248647,4831.3,2.74,0,0,0,0,0,0,0,0.15,81.61,0,0,0,0,0,0,0,12.61,15.5,0,0,2.89,0,103,1,26146,461,2.009,0.02,509.975,8.992,250,248,251,247,1.763,1.763,251,250,NA,240,248,1.57143,103.14286,248,219,103.33333,1.33333,2.01171,0.03086,249,219,248,2.01533,0.02633,250,1,174.34,173.27,238.61,200.91,722,11,34.9532710280374,-8.33333333333334,1257,23,16.7130919220056,-8,14.083,0.215,24.518,0.449,1.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Switzerland",4000,NA,0.32,0,0,0,0,0,0,0,0,99.29,0,0,0.16,0,0,0,0,0.23,0.23,0,0,0,0,6362,16,127042,1929,735.099,1.849,14679.1,222.887,235,228,242,236,1.518,1.518,236,235,221,224,228,12.14286,5839.28571,236,227,7906.33333,17.66667,674.70171,1.403,234,221,236,913.53933,2.04133,235,1,10.06,12.5,74.64,107.67,40875,85,99.965755100044,129.72972972973,61316,122,372.570327552986,369.230769230769,4722.912,9.821,7084.773,14.097,0.711,111,12.736,469,53.812,NA,NA,NA,NA,1,1,2,0,2,0,3,NA,NA,0,2,46.3,3,0,2,0,NA,3,57.14,2,5,2,4410077,12809,509.563,1.48,"tests performed",7.9,0.127,403,2,403,17176,1.985,20.8,0.048,NA,NA,NA,NA
"38","Taiwan",16089,676.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Thailand",5232,75.8,4.17,0,0,0,0,0,0,0,11.11,84.72,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3759,59,0.186,0,53.854,0.845,226,215,230,212,1.57,1.57,226,225,NA,NA,218,0,7.14286,220,NA,7.66667,0,0.10229,0,221,NA,213,0.10967,0,226,1,338.81,362.34,NA,NA,50,0,-12.280701754386,NA,107,0,21.5909090909091,NA,0.716,0,1.533,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","United Kingdom",29764,450.8,0.24,0,0,0,0,0,0,0,0,99.76,0,0,0,0,0,0,0,0,0,0,0,0,0,22885,367,917575,45365,337.109,5.406,13516.409,668.253,238,231,239,231,4.944,4.944,238,237,227,227,231,199.71429,22147.57143,231,225,21188.33333,206.66667,326.24643,2.942,235,226,231,312.11633,3.04433,238,1,28.97,26.22,151.11,155.01,155033,1398,21.4782717713247,47.3129610115911,282655,2347,49.7398868428302,148.097251585624,2283.726,20.593,4163.671,34.573,1.267,962,14.104,9065,132.904,NA,NA,NA,NA,1,2,1,1,2,0,3,NA,NA,0,1,41.2,3,0,0,1,NA,2,50,3,5,NA,89887019,863658,1324.088,12.722,"tests performed",21.3,0.047,338,2,338,676211,9.961,93.9,0.011,5.7,8.7,7,9.6
"41","United States - CDC samples tested",13624,41.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","United States - COVID-Tracking project",7934,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Vietnam",4588,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
