Entity,Code,Day,p_avg_all_ages,143222-annotations
Finland,FIN,2020-03-22,3.16,
Finland,FIN,2020-03-29,4.14,
Finland,FIN,2020-04-05,3.06,
Finland,FIN,2020-04-12,12.76,
Finland,FIN,2020-04-19,3.42,
Finland,FIN,2020-04-26,12.47,
Finland,FIN,2020-05-03,8.98,
Finland,FIN,2020-05-10,8.33,
Finland,FIN,2020-05-17,13.72,
Finland,FIN,2020-05-24,-0.17,
Finland,FIN,2020-05-31,4.17,
Finland,FIN,2020-06-07,1.84,
Finland,FIN,2020-06-14,5.58,
Finland,FIN,2020-06-21,10.44,
Finland,FIN,2020-06-28,7.41,
Finland,FIN,2020-07-05,5.31,
Finland,FIN,2020-07-12,0.11,
Finland,FIN,2020-07-19,6.4,
Finland,FIN,2020-07-26,-0.97,
Finland,FIN,2020-08-02,4.62,
Finland,FIN,2020-08-09,3.16,
Finland,FIN,2020-08-16,2.8,
Finland,FIN,2020-08-23,5.99,
Finland,FIN,2020-08-30,2.7,
Finland,FIN,2020-09-06,1.22,
Finland,FIN,2020-09-13,16.48,
Finland,FIN,2020-09-20,6.02,
Finland,FIN,2020-09-27,9.91,
Finland,FIN,2020-10-04,-3.88,
Finland,FIN,2020-10-11,-3.79,
Finland,FIN,2020-10-18,5.77,
Finland,FIN,2020-10-25,3.4,
Finland,FIN,2020-11-01,9.63,
Finland,FIN,2020-11-08,3.41,
Finland,FIN,2020-11-15,3.04,
Finland,FIN,2020-11-22,9.36,
Finland,FIN,2020-11-29,7.3,
Finland,FIN,2020-12-06,5.77,
Finland,FIN,2020-12-13,4.28,
Finland,FIN,2020-12-20,5.5,
Finland,FIN,2020-12-27,-2.87,
Finland,FIN,2021-01-03,1.17,
Finland,FIN,2021-01-10,-5.25,
Finland,FIN,2021-01-17,-4.69,
Finland,FIN,2021-01-24,2.87,
Finland,FIN,2021-01-31,2.73,
Finland,FIN,2021-02-07,-2.95,
Finland,FIN,2021-02-14,-5.97,
Finland,FIN,2021-02-21,5.48,
Finland,FIN,2021-02-28,3.45,
Finland,FIN,2021-03-07,-2.61,
Finland,FIN,2021-03-14,-4.95,
Finland,FIN,2021-03-21,-1.16,
Finland,FIN,2021-03-28,-6.12,
Finland,FIN,2021-04-04,-1.22,
Finland,FIN,2021-04-11,-2.23,
Finland,FIN,2021-04-18,-1.37,
Finland,FIN,2021-04-25,-0.45,
Finland,FIN,2021-05-02,-0.83,
Finland,FIN,2021-05-09,2.81,
Finland,FIN,2021-05-16,12.47,
Finland,FIN,2021-05-23,3.83,
Finland,FIN,2021-05-30,3.8,
Finland,FIN,2021-06-06,6.27,
Finland,FIN,2021-06-13,1.43,
Finland,FIN,2021-06-20,6,
Finland,FIN,2021-06-27,11.48,
Finland,FIN,2021-07-04,5.93,
Finland,FIN,2021-07-11,15.03,
Finland,FIN,2021-07-18,21.42,
Finland,FIN,2021-07-25,5.25,
Finland,FIN,2021-08-01,4.89,
Finland,FIN,2021-08-08,12.29,
Finland,FIN,2021-08-15,17.54,
Finland,FIN,2021-08-22,12.9,
Finland,FIN,2021-08-29,10.06,
Finland,FIN,2021-09-05,11.42,
Finland,FIN,2021-09-12,16.21,
Finland,FIN,2021-09-19,7.36,
Finland,FIN,2021-09-26,6.12,
France,FRA,2020-01-05,-5.27,
France,FRA,2020-01-12,-2.68,
France,FRA,2020-01-19,-4.63,
France,FRA,2020-01-26,-5.66,
France,FRA,2020-02-02,-4.06,
France,FRA,2020-02-09,-5.93,
France,FRA,2020-02-16,-5.86,
France,FRA,2020-02-23,-8.21,
France,FRA,2020-03-01,-6.81,
France,FRA,2020-03-08,-3.84,
France,FRA,2020-03-15,4.3,
France,FRA,2020-03-22,18.68,
France,FRA,2020-03-29,39.04,
France,FRA,2020-04-05,65.24,
France,FRA,2020-04-12,57.18,
France,FRA,2020-04-19,39.61,
France,FRA,2020-04-26,17.44,
France,FRA,2020-05-03,4.48,
France,FRA,2020-05-10,3.67,
France,FRA,2020-05-17,2.11,
France,FRA,2020-05-24,5.56,
France,FRA,2020-05-31,1.64,
France,FRA,2020-06-07,1.81,
France,FRA,2020-06-14,2.64,
France,FRA,2020-06-21,0.59,
France,FRA,2020-06-28,6.98,
France,FRA,2020-07-05,-6.76,
France,FRA,2020-07-12,0.95,
France,FRA,2020-07-19,-3.02,
France,FRA,2020-07-26,1.01,
France,FRA,2020-08-02,6.98,
France,FRA,2020-08-09,4.77,
France,FRA,2020-08-16,17.4,
France,FRA,2020-08-23,1.88,
France,FRA,2020-08-30,2.15,
France,FRA,2020-09-06,5.4,
France,FRA,2020-09-13,8.14,
France,FRA,2020-09-20,10.99,
France,FRA,2020-09-27,2.25,
France,FRA,2020-10-04,9.03,
France,FRA,2020-10-11,6.22,
France,FRA,2020-10-18,10.49,
France,FRA,2020-10-25,22.69,
France,FRA,2020-11-01,30.78,
France,FRA,2020-11-08,38.26,
France,FRA,2020-11-15,36.85,
France,FRA,2020-11-22,31.26,
France,FRA,2020-11-29,27.24,
France,FRA,2020-12-06,24.51,
France,FRA,2020-12-13,21.25,
France,FRA,2020-12-20,14.63,
France,FRA,2020-12-27,9.37,
France,FRA,2021-01-03,13.84,
France,FRA,2021-01-10,9.13,
France,FRA,2021-01-17,7.87,
France,FRA,2021-01-24,14.58,
France,FRA,2021-01-31,13.02,
France,FRA,2021-02-07,10.39,
France,FRA,2021-02-14,7.3,
France,FRA,2021-02-21,8.42,
France,FRA,2021-02-28,3.28,
France,FRA,2021-03-07,0.26,
France,FRA,2021-03-14,1.34,
France,FRA,2021-03-21,7.67,
France,FRA,2021-03-28,8.75,
France,FRA,2021-04-04,13.65,
France,FRA,2021-04-11,14.16,
France,FRA,2021-04-18,17.02,
France,FRA,2021-04-25,19.82,
France,FRA,2021-05-02,16.66,
France,FRA,2021-05-09,15.92,
France,FRA,2021-05-16,7.95,
France,FRA,2021-05-23,6.62,
France,FRA,2021-05-30,4.91,
France,FRA,2021-06-06,5.17,
France,FRA,2021-06-13,4.46,
France,FRA,2021-06-20,7.36,
France,FRA,2021-06-27,-5.02,
France,FRA,2021-07-04,-2.6,
France,FRA,2021-07-11,-2.6,
France,FRA,2021-07-18,0.8,
France,FRA,2021-07-25,9.68,
France,FRA,2021-08-01,1.79,
France,FRA,2021-08-08,3.39,
France,FRA,2021-08-15,12.17,
France,FRA,2021-08-22,10.87,
France,FRA,2021-08-29,4.95,
France,FRA,2021-09-05,9.4,
France,FRA,2021-09-12,13.15,
France,FRA,2021-09-19,-2.24,
French Guiana,GUF,2020-01-05,7.14,
French Guiana,GUF,2020-01-12,-31.03,
French Guiana,GUF,2020-01-19,-15.84,
French Guiana,GUF,2020-01-26,3.96,
French Guiana,GUF,2020-02-02,11.11,
French Guiana,GUF,2020-02-09,-37.5,
French Guiana,GUF,2020-02-16,-14.77,
French Guiana,GUF,2020-02-23,10.39,
French Guiana,GUF,2020-03-01,-12.5,
French Guiana,GUF,2020-03-08,5.26,
French Guiana,GUF,2020-03-15,66.67,
French Guiana,GUF,2020-03-22,-30.23,
French Guiana,GUF,2020-03-29,49.35,
French Guiana,GUF,2020-04-05,-38.14,
French Guiana,GUF,2020-04-12,-36.17,
French Guiana,GUF,2020-04-19,-67.29,
French Guiana,GUF,2020-04-26,-14.89,
French Guiana,GUF,2020-05-03,-51.09,
French Guiana,GUF,2020-05-10,-5.06,
French Guiana,GUF,2020-05-17,14.29,
French Guiana,GUF,2020-05-24,-32.99,
French Guiana,GUF,2020-05-31,-26.14,
French Guiana,GUF,2020-06-07,25,
French Guiana,GUF,2020-06-14,13.33,
French Guiana,GUF,2020-06-21,100,
French Guiana,GUF,2020-06-28,43.68,
French Guiana,GUF,2020-07-05,31.58,
French Guiana,GUF,2020-07-12,42.86,
French Guiana,GUF,2020-07-19,54.21,
French Guiana,GUF,2020-07-26,23.6,
French Guiana,GUF,2020-08-02,10,
French Guiana,GUF,2020-08-09,6.74,
French Guiana,GUF,2020-08-16,-23.08,
French Guiana,GUF,2020-08-23,45.57,
French Guiana,GUF,2020-08-30,42.86,
French Guiana,GUF,2020-09-06,6.67,
French Guiana,GUF,2020-09-13,-45.05,
French Guiana,GUF,2020-09-20,27.91,
French Guiana,GUF,2020-09-27,1.27,
French Guiana,GUF,2020-10-04,15.85,
French Guiana,GUF,2020-10-11,39.71,
French Guiana,GUF,2020-10-18,57.53,
French Guiana,GUF,2020-10-25,1.12,
French Guiana,GUF,2020-11-01,80.56,
French Guiana,GUF,2020-11-08,-4.76,
French Guiana,GUF,2020-11-15,-44.44,
French Guiana,GUF,2020-11-22,54.41,
French Guiana,GUF,2020-11-29,16.28,
French Guiana,GUF,2020-12-06,31.25,
French Guiana,GUF,2020-12-13,-23.47,
French Guiana,GUF,2020-12-20,-11.11,
French Guiana,GUF,2020-12-27,29.87,
French Guiana,GUF,2021-01-03,-2.6,
French Guiana,GUF,2021-01-10,7.14,
French Guiana,GUF,2021-01-17,43.68,
French Guiana,GUF,2021-01-24,-15.84,
French Guiana,GUF,2021-01-31,-0.99,
French Guiana,GUF,2021-02-07,35.8,
French Guiana,GUF,2021-02-14,25,
French Guiana,GUF,2021-02-21,19.32,
French Guiana,GUF,2021-02-28,36.36,
French Guiana,GUF,2021-03-07,12.5,
French Guiana,GUF,2021-03-14,57.89,
French Guiana,GUF,2021-03-21,110.14,
French Guiana,GUF,2021-03-28,68.6,
French Guiana,GUF,2021-04-04,68.83,
French Guiana,GUF,2021-04-11,3.09,
French Guiana,GUF,2021-04-18,-25.53,
French Guiana,GUF,2021-04-25,-15.89,
French Guiana,GUF,2021-05-02,-30.85,
French Guiana,GUF,2021-05-09,8.7,
French Guiana,GUF,2021-05-16,13.92,
French Guiana,GUF,2021-05-23,71.43,
French Guiana,GUF,2021-05-30,18.56,
French Guiana,GUF,2021-06-06,42.05,
French Guiana,GUF,2021-06-13,81.25,
French Guiana,GUF,2021-06-20,106.67,
French Guiana,GUF,2021-06-27,106.25,
French Guiana,GUF,2021-07-04,14.94,
French Guiana,GUF,2021-07-11,78.95,
French Guiana,GUF,2021-07-18,78.57,
French Guiana,GUF,2021-07-25,35.51,
French Guiana,GUF,2021-08-01,68.54,
French Guiana,GUF,2021-08-08,70,
French Guiana,GUF,2021-08-15,34.83,
French Guiana,GUF,2021-08-22,70.33,
French Guiana,GUF,2021-08-29,134.18,
French Guiana,GUF,2021-09-05,78.57,
French Guiana,GUF,2021-09-12,80,
French Guiana,GUF,2021-09-19,86.81,
French Polynesia,PYF,2020-01-31,-7.41,
French Polynesia,PYF,2020-02-29,10.65,
French Polynesia,PYF,2020-03-31,12.63,
French Polynesia,PYF,2020-04-30,1.29,
French Polynesia,PYF,2020-05-31,-0.32,
French Polynesia,PYF,2020-06-30,8.81,
French Polynesia,PYF,2020-07-31,-11.08,
French Polynesia,PYF,2020-08-31,-13.53,
French Polynesia,PYF,2020-09-30,17.49,
French Polynesia,PYF,2020-10-31,15.2,
French Polynesia,PYF,2020-11-30,23.23,
French Polynesia,PYF,2020-12-31,40.06,
Georgia,GEO,2020-01-31,-3.84,
Georgia,GEO,2020-02-29,0.76,
Georgia,GEO,2020-03-31,-8.61,
Georgia,GEO,2020-04-30,-11.43,
Georgia,GEO,2020-05-31,-4.63,
Georgia,GEO,2020-06-30,-4.88,
Georgia,GEO,2020-07-31,2.08,
Georgia,GEO,2020-08-31,-9.44,
Georgia,GEO,2020-09-30,-1.83,
Georgia,GEO,2020-10-31,6.95,
Georgia,GEO,2020-11-30,46.57,
Georgia,GEO,2020-12-31,43,
Georgia,GEO,2021-01-31,5.9,
Georgia,GEO,2021-02-28,-6.06,
Georgia,GEO,2021-03-31,-2.56,
Georgia,GEO,2021-04-30,-0.11,
Georgia,GEO,2021-05-31,10.92,
Georgia,GEO,2021-06-30,8.03,
Germany,DEU,2020-01-05,-1.78,
Germany,DEU,2020-01-12,-0.71,
Germany,DEU,2020-01-19,-3.02,
Germany,DEU,2020-01-26,-4.73,
Germany,DEU,2020-02-02,-3.28,
Germany,DEU,2020-02-09,-6.91,
Germany,DEU,2020-02-16,-6.41,
Germany,DEU,2020-02-23,-11.63,
Germany,DEU,2020-03-01,-11.16,
Germany,DEU,2020-03-08,-8.29,
Germany,DEU,2020-03-15,-3.26,
Germany,DEU,2020-03-22,0.35,
Germany,DEU,2020-03-29,3.65,
Germany,DEU,2020-04-05,11.51,
Germany,DEU,2020-04-12,14.26,
Germany,DEU,2020-04-19,9.93,
Germany,DEU,2020-04-26,6.23,
Germany,DEU,2020-05-03,5.38,
Germany,DEU,2020-05-10,2.16,
Germany,DEU,2020-05-17,0.94,
Germany,DEU,2020-05-24,3.82,
Germany,DEU,2020-05-31,0.57,
Germany,DEU,2020-06-07,4.46,
Germany,DEU,2020-06-14,3.57,
Germany,DEU,2020-06-21,0.21,
Germany,DEU,2020-06-28,4.92,
Germany,DEU,2020-07-05,-3.28,
Germany,DEU,2020-07-12,-1,
Germany,DEU,2020-07-19,-1.07,
Germany,DEU,2020-07-26,-2.34,
Germany,DEU,2020-08-02,2.83,
Germany,DEU,2020-08-09,5.32,
Germany,DEU,2020-08-16,20.08,
Germany,DEU,2020-08-23,8.21,
Germany,DEU,2020-08-30,1.66,
Germany,DEU,2020-09-06,5.12,
Germany,DEU,2020-09-13,5.81,
Germany,DEU,2020-09-20,7.97,
Germany,DEU,2020-09-27,6.22,
Germany,DEU,2020-10-04,6.15,
Germany,DEU,2020-10-11,1.36,
Germany,DEU,2020-10-18,3.4,
Germany,DEU,2020-10-25,8.17,
Germany,DEU,2020-11-01,8.65,
Germany,DEU,2020-11-08,8.44,
Germany,DEU,2020-11-15,12.23,
Germany,DEU,2020-11-22,13.69,
Germany,DEU,2020-11-29,19.02,
Germany,DEU,2020-12-06,23.41,
Germany,DEU,2020-12-13,31.18,
Germany,DEU,2020-12-20,32.45,
Germany,DEU,2020-12-27,39.29,
Germany,DEU,2021-01-03,38.85,
Germany,DEU,2021-01-10,29.11,
Germany,DEU,2021-01-17,25.25,
Germany,DEU,2021-01-24,23.11,
Germany,DEU,2021-01-31,14.51,
Germany,DEU,2021-02-07,6.22,
Germany,DEU,2021-02-14,2.23,
Germany,DEU,2021-02-21,-2.6,
Germany,DEU,2021-02-28,-11.73,
Germany,DEU,2021-03-07,-16.11,
Germany,DEU,2021-03-14,-13.33,
Germany,DEU,2021-03-21,-10.78,
Germany,DEU,2021-03-28,-6.58,
Germany,DEU,2021-04-04,-2.71,
Germany,DEU,2021-04-11,1.39,
Germany,DEU,2021-04-18,6.05,
Germany,DEU,2021-04-25,9.57,
Germany,DEU,2021-05-02,11.35,
Germany,DEU,2021-05-09,13.35,
Germany,DEU,2021-05-16,7.42,
Germany,DEU,2021-05-23,5.38,
Germany,DEU,2021-05-30,3.46,
Germany,DEU,2021-06-06,8.55,
Germany,DEU,2021-06-13,5.01,
Germany,DEU,2021-06-20,18.41,
Germany,DEU,2021-06-27,4.56,
Germany,DEU,2021-07-04,2.54,
Germany,DEU,2021-07-11,-0.97,
Germany,DEU,2021-07-18,7.48,
Germany,DEU,2021-07-25,4.52,
Germany,DEU,2021-08-01,-1.33,
Germany,DEU,2021-08-08,-0.54,
Germany,DEU,2021-08-15,4.76,
Germany,DEU,2021-08-22,5.27,
Germany,DEU,2021-08-29,4.72,
Germany,DEU,2021-09-05,4.67,
Germany,DEU,2021-09-12,16.79,
Germany,DEU,2021-09-19,10.95,
Germany,DEU,2021-09-26,11.32,
Germany,DEU,2021-10-03,10.54,
Gibraltar,GIB,2020-01-31,8.28,
Gibraltar,GIB,2020-02-29,1.5,
Gibraltar,GIB,2020-03-31,5.26,
Gibraltar,GIB,2020-04-30,0.96,
Gibraltar,GIB,2020-05-31,-43.4,
Gibraltar,GIB,2020-06-30,-21.57,
Gibraltar,GIB,2020-07-31,29.21,
Gibraltar,GIB,2020-08-31,1.85,
Gibraltar,GIB,2020-09-30,0.88,
Gibraltar,GIB,2020-10-31,11.61,
Gibraltar,GIB,2020-11-30,32.65,
Gibraltar,GIB,2020-12-31,-40.56,
Gibraltar,GIB,2021-01-31,183.44,
Greece,GRC,2020-01-05,-2.63,
Greece,GRC,2020-01-12,-1.55,
Greece,GRC,2020-01-19,0.91,
Greece,GRC,2020-01-26,-0.41,
Greece,GRC,2020-02-02,7.27,
Greece,GRC,2020-02-09,6.41,
Greece,GRC,2020-02-16,9.71,
Greece,GRC,2020-02-23,-0.15,
Greece,GRC,2020-03-01,2.65,
Greece,GRC,2020-03-08,9.03,
Greece,GRC,2020-03-15,8.26,
Greece,GRC,2020-03-22,8.84,
Greece,GRC,2020-03-29,5.94,
Greece,GRC,2020-04-05,4.51,
Greece,GRC,2020-04-12,2.13,
Greece,GRC,2020-04-19,0.73,
Greece,GRC,2020-04-26,-1.91,
Greece,GRC,2020-05-03,1.44,
Greece,GRC,2020-05-10,-1.83,
Greece,GRC,2020-05-17,16,
Greece,GRC,2020-05-24,12.63,
Greece,GRC,2020-05-31,-12.01,
Greece,GRC,2020-06-07,-3.48,
Greece,GRC,2020-06-14,-2.22,
Greece,GRC,2020-06-21,-1.3,
Greece,GRC,2020-06-28,-8.3,
Greece,GRC,2020-07-05,13.24,
Greece,GRC,2020-07-12,2.15,
Greece,GRC,2020-07-19,0.14,
Greece,GRC,2020-07-26,-0.22,
Greece,GRC,2020-08-02,17.39,
Greece,GRC,2020-08-09,5.15,
Greece,GRC,2020-08-16,4.55,
Greece,GRC,2020-08-23,9.5,
Greece,GRC,2020-08-30,6.6,
Greece,GRC,2020-09-06,11.1,
Greece,GRC,2020-09-13,10.68,
Greece,GRC,2020-09-20,12.78,
Greece,GRC,2020-09-27,7.71,
Greece,GRC,2020-10-04,4.72,
Greece,GRC,2020-10-11,3.63,
Greece,GRC,2020-10-18,-0.96,
Greece,GRC,2020-10-25,1.45,
Greece,GRC,2020-11-01,7.89,
Greece,GRC,2020-11-08,10.81,
Greece,GRC,2020-11-15,22.13,
Greece,GRC,2020-11-22,33.94,
Greece,GRC,2020-11-29,39.47,
Greece,GRC,2020-12-06,37.34,
Greece,GRC,2020-12-13,26.69,
Greece,GRC,2020-12-20,16.78,
Greece,GRC,2020-12-27,5.64,
Greece,GRC,2021-01-03,2.39,
Greece,GRC,2021-01-10,-6.38,
Greece,GRC,2021-01-17,-16.2,
Greece,GRC,2021-01-24,-6.67,
Greece,GRC,2021-01-31,-5.91,
Greece,GRC,2021-02-07,-10.56,
Greece,GRC,2021-02-14,-8.04,
Greece,GRC,2021-02-21,-0.27,
Greece,GRC,2021-02-28,7.82,
Greece,GRC,2021-03-07,9.83,
Greece,GRC,2021-03-14,9.4,
Greece,GRC,2021-03-21,16.15,
Greece,GRC,2021-03-28,17.77,
Greece,GRC,2021-04-04,27.22,
Greece,GRC,2021-04-11,23.42,
Greece,GRC,2021-04-18,28.33,
Greece,GRC,2021-04-25,18.37,
Greece,GRC,2021-05-02,24.8,
Greece,GRC,2021-05-09,29.1,
Greece,GRC,2021-05-16,12.33,
Greece,GRC,2021-05-23,17.22,
Greece,GRC,2021-05-30,25.02,
Greece,GRC,2021-06-06,3.87,
Greece,GRC,2021-06-13,9.89,
Greece,GRC,2021-06-20,2.24,
Greece,GRC,2021-06-27,24.03,
Greece,GRC,2021-07-04,32.6,
Greece,GRC,2021-07-11,14.55,
Greece,GRC,2021-07-18,19.57,
Greece,GRC,2021-07-25,14.76,
Greece,GRC,2021-08-01,25.85,
Greece,GRC,2021-08-08,67.86,
Greece,GRC,2021-08-15,22.33,
Greece,GRC,2021-08-22,17.71,
Greece,GRC,2021-08-29,28.56,
Greece,GRC,2021-09-05,18.75,
Greenland,GRL,2020-01-31,-19.64,
Greenland,GRL,2020-02-29,19.4,
Greenland,GRL,2020-03-31,-8.33,
Greenland,GRL,2020-04-30,-30.88,
Greenland,GRL,2020-05-31,-17.84,
Greenland,GRL,2020-06-30,16.11,
Greenland,GRL,2020-07-31,-1.02,
Greenland,GRL,2020-08-31,23.74,
Greenland,GRL,2020-09-30,25.59,
Greenland,GRL,2020-10-31,-7.51,
Greenland,GRL,2020-11-30,27.12,
Greenland,GRL,2020-12-31,29.87,
Guadeloupe,GLP,2020-01-05,28.62,
Guadeloupe,GLP,2020-01-12,-15.25,
Guadeloupe,GLP,2020-01-19,-12.5,
Guadeloupe,GLP,2020-01-26,21.48,
Guadeloupe,GLP,2020-02-02,-7.58,
Guadeloupe,GLP,2020-02-09,-10.94,
Guadeloupe,GLP,2020-02-16,19.74,
Guadeloupe,GLP,2020-02-23,57.59,
Guadeloupe,GLP,2020-03-01,10.29,
Guadeloupe,GLP,2020-03-08,13.18,
Guadeloupe,GLP,2020-03-15,4.69,
Guadeloupe,GLP,2020-03-22,12.01,
Guadeloupe,GLP,2020-03-29,4.17,
Guadeloupe,GLP,2020-04-05,21.21,
Guadeloupe,GLP,2020-04-12,10.29,
Guadeloupe,GLP,2020-04-19,33.09,
Guadeloupe,GLP,2020-04-26,21.62,
Guadeloupe,GLP,2020-05-03,42.86,
Guadeloupe,GLP,2020-05-10,6.53,
Guadeloupe,GLP,2020-05-17,5.92,
Guadeloupe,GLP,2020-05-24,19.6,
Guadeloupe,GLP,2020-05-31,-1.06,
Guadeloupe,GLP,2020-06-07,1.03,
Guadeloupe,GLP,2020-06-14,-8.16,
Guadeloupe,GLP,2020-06-21,-5.45,
Guadeloupe,GLP,2020-06-28,6.06,
Guadeloupe,GLP,2020-07-05,3.74,
Guadeloupe,GLP,2020-07-12,3.12,
Guadeloupe,GLP,2020-07-19,-8.03,
Guadeloupe,GLP,2020-07-26,-2.4,
Guadeloupe,GLP,2020-08-02,21.21,
Guadeloupe,GLP,2020-08-09,15.76,
Guadeloupe,GLP,2020-08-16,35.05,
Guadeloupe,GLP,2020-08-23,-1.23,
Guadeloupe,GLP,2020-08-30,33.85,
Guadeloupe,GLP,2020-09-06,49.82,
Guadeloupe,GLP,2020-09-13,27.94,
Guadeloupe,GLP,2020-09-20,64.58,
Guadeloupe,GLP,2020-09-27,55.05,
Guadeloupe,GLP,2020-10-04,36.09,
Guadeloupe,GLP,2020-10-11,41.03,
Guadeloupe,GLP,2020-10-18,72.73,
Guadeloupe,GLP,2020-10-25,52.03,
Guadeloupe,GLP,2020-11-01,30.74,
Guadeloupe,GLP,2020-11-08,24.14,
Guadeloupe,GLP,2020-11-15,0,
Guadeloupe,GLP,2020-11-22,-2.57,
Guadeloupe,GLP,2020-11-29,25.9,
Guadeloupe,GLP,2020-12-06,16.44,
Guadeloupe,GLP,2020-12-13,5.96,
Guadeloupe,GLP,2020-12-20,-3.72,
Guadeloupe,GLP,2020-12-27,-7.69,
Guadeloupe,GLP,2021-01-03,-15.38,
Guadeloupe,GLP,2021-01-10,20.58,
Guadeloupe,GLP,2021-01-17,35.59,
Guadeloupe,GLP,2021-01-24,25,
Guadeloupe,GLP,2021-01-31,-3.17,
Guadeloupe,GLP,2021-02-07,4.55,
Guadeloupe,GLP,2021-02-14,-18.75,
Guadeloupe,GLP,2021-02-21,-6.15,
Guadeloupe,GLP,2021-02-28,57.59,
Guadeloupe,GLP,2021-03-07,-4.41,
Guadeloupe,GLP,2021-03-14,1.35,
Guadeloupe,GLP,2021-03-21,1.56,
Guadeloupe,GLP,2021-03-28,23.38,
Guadeloupe,GLP,2021-04-04,4.17,
Guadeloupe,GLP,2021-04-11,19.53,
Guadeloupe,GLP,2021-04-18,47.06,
Guadeloupe,GLP,2021-04-25,43.88,
Guadeloupe,GLP,2021-05-02,8.11,
Guadeloupe,GLP,2021-05-09,27.82,
Guadeloupe,GLP,2021-05-16,20.27,
Guadeloupe,GLP,2021-05-23,24.61,
Guadeloupe,GLP,2021-05-30,12.96,
Guadeloupe,GLP,2021-06-06,11.31,
Guadeloupe,GLP,2021-06-13,36.99,
Guadeloupe,GLP,2021-06-20,7.87,
Guadeloupe,GLP,2021-06-27,-2.24,
Guadeloupe,GLP,2021-07-04,4.55,
Guadeloupe,GLP,2021-07-11,17.35,
Guadeloupe,GLP,2021-07-18,0,
Guadeloupe,GLP,2021-07-25,23.75,
Guadeloupe,GLP,2021-08-01,14.11,
Guadeloupe,GLP,2021-08-08,122.22,
Guadeloupe,GLP,2021-08-15,223.15,
Guadeloupe,GLP,2021-08-22,387.14,
Guadeloupe,GLP,2021-08-29,329.01,
Guadeloupe,GLP,2021-09-05,173.85,
Guadeloupe,GLP,2021-09-12,161.73,
Guadeloupe,GLP,2021-09-19,13.24,
Guatemala,GTM,2020-01-05,9.44,
Guatemala,GTM,2020-01-12,2.23,
Guatemala,GTM,2020-01-19,2.97,
Guatemala,GTM,2020-01-26,3.17,
Guatemala,GTM,2020-02-02,6.44,
Guatemala,GTM,2020-02-09,3.11,
Guatemala,GTM,2020-02-16,0.11,
Guatemala,GTM,2020-02-23,-3.76,
Guatemala,GTM,2020-03-01,1.85,
Guatemala,GTM,2020-03-08,0.09,
Guatemala,GTM,2020-03-15,-6.29,
Guatemala,GTM,2020-03-22,-12.25,
Guatemala,GTM,2020-03-29,-17.83,
Guatemala,GTM,2020-04-05,-18.63,
Guatemala,GTM,2020-04-12,-20.43,
Guatemala,GTM,2020-04-19,-18.32,
Guatemala,GTM,2020-04-26,-15.79,
Guatemala,GTM,2020-05-03,-16.09,
Guatemala,GTM,2020-05-10,-12.73,
Guatemala,GTM,2020-05-17,-12.3,
Guatemala,GTM,2020-05-24,-6.02,
Guatemala,GTM,2020-05-31,2.7,
Guatemala,GTM,2020-06-07,15.88,
Guatemala,GTM,2020-06-14,23.51,
Guatemala,GTM,2020-06-21,29.63,
Guatemala,GTM,2020-06-28,45.35,
Guatemala,GTM,2020-07-05,60.69,
Guatemala,GTM,2020-07-12,83.73,
Guatemala,GTM,2020-07-19,72.53,
Guatemala,GTM,2020-07-26,67.08,
Guatemala,GTM,2020-08-02,65.92,
Guatemala,GTM,2020-08-09,48.53,
Guatemala,GTM,2020-08-16,44.72,
Guatemala,GTM,2020-08-23,34.92,
Guatemala,GTM,2020-08-30,40.01,
Guatemala,GTM,2020-09-06,29.68,
Guatemala,GTM,2020-09-13,24.79,
Guatemala,GTM,2020-09-20,22.23,
Guatemala,GTM,2020-09-27,22.02,
Guatemala,GTM,2020-10-04,11.34,
Guatemala,GTM,2020-10-11,20.77,
Guatemala,GTM,2020-10-18,15.87,
Guatemala,GTM,2020-10-25,14.77,
Guatemala,GTM,2020-11-01,17.85,
Guatemala,GTM,2020-11-08,20.17,
Guatemala,GTM,2020-11-15,18.8,
Guatemala,GTM,2020-11-22,22.28,
Guatemala,GTM,2020-11-29,23.51,
Guatemala,GTM,2020-12-06,16.26,
Guatemala,GTM,2020-12-13,19.4,
Guatemala,GTM,2020-12-20,18.93,
Guatemala,GTM,2020-12-27,15.21,
Guatemala,GTM,2021-01-03,20.52,
Guatemala,GTM,2021-01-10,23.68,
Guatemala,GTM,2021-01-17,33.08,
Guatemala,GTM,2021-01-24,24.64,
Guatemala,GTM,2021-01-31,31.93,
Guatemala,GTM,2021-02-07,30.14,
Guatemala,GTM,2021-02-14,20.08,
Guatemala,GTM,2021-02-21,12.8,
Guatemala,GTM,2021-02-28,16.86,
Guatemala,GTM,2021-03-07,23.06,
Guatemala,GTM,2021-03-14,16.36,
Guatemala,GTM,2021-03-21,22.31,
Guatemala,GTM,2021-03-28,30.24,
Guatemala,GTM,2021-04-04,14.2,
Guatemala,GTM,2021-04-11,15.16,
Guatemala,GTM,2021-04-18,41.26,
Guatemala,GTM,2021-04-25,36.81,
Guatemala,GTM,2021-05-02,17.96,
Guatemala,GTM,2021-05-09,46.21,
Guatemala,GTM,2021-05-16,38.87,
Guatemala,GTM,2021-05-23,40.56,
Guatemala,GTM,2021-05-30,41.54,
Guatemala,GTM,2021-06-06,42.4,
Guatemala,GTM,2021-06-13,37.4,
